index,lastUpdatedAt,actualLandingTime,aircraftType,baggageClaim,codeshares,estimatedLandingTime,expectedTimeOnBelt,flightDirection,flightName,flightNumber,id,isOperationalFlight,mainFlight,prefixIATA,prefixICAO,airlineCode,publicFlightState,route,scheduleDateTime,scheduleDate,scheduleTime,serviceType,terminal,schemaVersion
0,2025-07-30T01:44:21.092+02:00,2025-07-30T00:05:12.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['2']},{'codeshares': ['KL3282']},2025-07-30T00:05:12.000+02:00,2025-07-30T00:38:38.000+02:00,A,HV5352,5352,142887665380799034,True,HV5352,HV,TRA,164,{'flightStates': ['ARR']},"{'destinations': ['FAO'], 'eu': 'S', 'visa': False}",2025-07-30T00:15:00.000+02:00,2025-07-30,00:15:00,J,1,4
1,2025-07-30T01:44:21.092+02:00,2025-07-30T00:05:12.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['2']},{'codeshares': ['KL3282']},2025-07-30T00:05:12.000+02:00,2025-07-30T00:38:38.000+02:00,A,KL3282,3282,142887665759174428,True,HV5352,KL,KLM,100,{'flightStates': ['ARR']},"{'destinations': ['FAO'], 'eu': 'S', 'visa': False}",2025-07-30T00:15:00.000+02:00,2025-07-30,00:15:00,J,1,4
2,2025-07-30T02:09:31.237+02:00,2025-07-30T01:06:37.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['4']},{'codeshares': ['KL2568']},2025-07-30T01:06:37.000+02:00,2025-07-30T02:13:09.000+02:00,A,HV5218,5218,142887665380796012,True,HV5218,HV,TRA,164,"{'flightStates': ['FIB', 'EXP']}","{'destinations': ['CTA'], 'eu': 'S', 'visa': False}",2025-07-30T00:15:00.000+02:00,2025-07-30,00:15:00,J,1,4
3,2025-07-30T02:09:31.237+02:00,2025-07-30T01:06:37.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['4']},{'codeshares': ['KL2568']},2025-07-30T01:06:37.000+02:00,2025-07-30T02:13:09.000+02:00,A,KL2568,2568,142887665759081200,True,HV5218,KL,KLM,100,"{'flightStates': ['FIB', 'EXP']}","{'destinations': ['CTA'], 'eu': 'S', 'visa': False}",2025-07-30T00:15:00.000+02:00,2025-07-30,00:15:00,J,1,4
4,2025-07-30T01:22:04.089+02:00,2025-07-29T23:55:21.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['4']},{'codeshares': ['KL2751']},2025-07-29T23:55:21.000+02:00,2025-07-30T00:20:01.000+02:00,A,KL2751,2751,142887665759086588,True,HV5462,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['VRN'], 'eu': 'S', 'visa': False}",2025-07-30T00:25:00.000+02:00,2025-07-30,00:25:00,J,1,4
5,2025-07-30T01:22:04.089+02:00,2025-07-29T23:55:21.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['4']},{'codeshares': ['KL2751']},2025-07-29T23:55:21.000+02:00,2025-07-30T00:20:01.000+02:00,A,HV5462,5462,142887665380801846,True,HV5462,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['VRN'], 'eu': 'S', 'visa': False}",2025-07-30T00:25:00.000+02:00,2025-07-30,00:25:00,J,1,4
6,2025-07-30T02:24:37.089+02:00,2025-07-30T00:40:56.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['2']},{'codeshares': ['KL3293']},2025-07-30T00:40:56.000+02:00,2025-07-30T01:24:37.000+02:00,A,HV5632,5632,142887665380807100,True,HV5632,HV,TRA,164,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['PMI'], 'eu': 'S', 'visa': False}",2025-07-30T00:25:00.000+02:00,2025-07-30,00:25:00,J,1,4
7,2025-07-30T02:24:37.089+02:00,2025-07-30T00:40:56.000+02:00,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': ['2']},{'codeshares': ['KL3293']},2025-07-30T00:40:56.000+02:00,2025-07-30T01:24:37.000+02:00,A,KL3293,3293,142887665759174504,True,HV5632,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['PMI'], 'eu': 'S', 'visa': False}",2025-07-30T00:25:00.000+02:00,2025-07-30,00:25:00,J,1,4
8,2025-07-30T01:50:42.703+02:00,2025-07-30T01:00:13.000+02:00,"{'iataMain': '32S', 'iataSub': '32Q'}",{'belts': ['6']},,2025-07-30T01:00:13.000+02:00,2025-07-30T01:46:20.000+02:00,A,HV6706,6706,142887665380910930,True,HV6706,HV,TRA,164,"{'flightStates': ['FIB', 'EXP']}","{'destinations': ['FUE'], 'eu': 'S', 'visa': False}",2025-07-30T00:30:00.000+02:00,2025-07-30,00:30:00,J,1,4
9,2025-07-30T01:57:16.685+02:00,2025-07-30T00:26:24.000+02:00,"{'iataMain': 'EMJ', 'iataSub': 'E90'}",{'belts': ['16']},{'codeshares': ['DL9477']},2025-07-30T00:26:24.000+02:00,2025-07-30T01:26:56.712+02:00,A,KL1682,1682,142887665758982768,True,KL1682,KL,KLM,100,{'flightStates': ['ARR']},"{'destinations': ['LIN'], 'eu': 'S', 'visa': False}",2025-07-30T00:35:00.000+02:00,2025-07-30,00:35:00,J,3,4
